,name,age,job,incomeUSD,creditScore,ccNumber,married,hasChildren,height,weight,eyeColor,email,gender,hasDegree,bloodType,username,politicalLeaning,religion,doB,gpa,address.streetAddress,address.city,address.state,address.country,address.zip,address.geonameId,address.phoneNumber,address.ipAddress,address.countryCode,height_inches,weight_pounds,bmi,health,healthy_bmi_range,income level,region,state_population,state_per_capita_income
0,Charolette Carroll,42,Anthropologist,71247,823,6007-2224-9881-3450,False,False,166.0,80.8,AMBER,charolette.carroll@gmail.com,Male,True,B+,charolette87,0.53,Hinduism,Fri Sep 04 00:18:37 UTC 1981,3.3,110 Harris Neck,Schaumburg,North Dakota,United States,41882,1185128,+880 7639450439,50.113.57.240,BD,65.35433070866142,178.164,29.32,Overweight,18.5 - 25,Middle income,Midwest,779094,"66,184"
1,Lizette Muller,45,Uber Driver,31092,639,6771-8987-0818-5229,True,True,171.0,65.5,BROWN,muller.muller@gmail.com,Male,False,A+,lizette84,0.28,Hinduism,Thu May 17 02:08:43 UTC 1979,2.8,9400 Ratke Heights,Summerville,Arizona,United States,99853-5960,4161797,+1 42487290427,67.24.48.13,US,67.32283464566929,144.4275,22.4,Normal,18.5 - 25,Low income,West,7151502,"56,667"
2,Ezra Champlin,19,Nuclear Medicine Technologist,82922,558,3742-496036-15098,False,False,160.0,55.0,GRAY,ezra_champlin@yahoo.com,Female,False,A+,ezra73,-0.47,Christian,Wed Nov 17 01:59:15 UTC 2004,1.6,244 Balistreri Union,East Meadow,Connecticut,United States,25794,1820187,+673 9114799,177.39.38.252,BN,62.99212598425197,121.275,21.48,Healthy weight,5 - 85,Middle income,Northeast,3605944,"84,972"
3,Luana Jacobi,23,Retired,16786,797,6767-8698-8214-3742-85,True,False,160.0,49.6,HAZEL,jacobi.jacobi@gmail.com,Female,False,A-,luana62,0.23,Christianity,Sat Aug 04 17:46:38 UTC 2001,2.5,33052 Ramon Drive,Artesia,New York,United States,16572-6103,912764,+260 758696783,219.35.20.4,ZM,62.99212598425197,109.36800000000001,19.37,Normal,18.5 - 25,Low income,Northeast,20201249,"78,089"
4,Wilmer Skiles,33,Psychiatrist,122929,543,6709009668675160,True,True,175.0,66.0,BROWN,wilmerskiles@gmail.com,Female,False,B+,wilmer84,-0.7,Islam,Thu Aug 01 18:20:27 UTC 1991,2.8,9887 Satterfield Stravenue,Westminster,Washington,United States,15001,203104,+250 026787320,75.54.223.158,RW,68.89763779527559,145.53,21.55,Normal,18.5 - 25,Middle income,West,7705281,"75,698"
5,Mandie Mueller,32,Content Marketing Manager,61386,791,6759-7910-5194-6919-71,True,False,161.0,59.9,GRAY,mandie_mueller@hotmail.com,Female,False,A+,mandie58,-0.64,Christian,Tue Feb 18 23:13:31 UTC 1992,3.0,511 Cletus Lakes,University Place,Indiana,United States,33721,2260535,+242 156205054,104.27.247.208,CG,63.38582677165354,132.0795,23.11,Normal,18.5 - 25,Middle income,Midwest,6785528,"57,930"
6,Horace Rempel,37,Swing Gang,47808,584,6706117346749639,True,True,161.0,64.7,GRAY,horacerempel@yahoo.com,Male,False,A+,horace56,0.5,Hinduism,Wed Nov 11 20:41:50 UTC 1987,3.2,242 Daren Overpass,Concord,South Carolina,United States,02995-5649,4101114,+1 08755491157,237.3.9.227,US,63.38582677165354,142.6635,24.96,Normal,18.5 - 25,Low income,South,5118425,"53,320"
7,Reginia Jenkins,38,Graphic Designer,82153,576,3738-907420-98646,True,True,146.0,55.9,BROWN,reginiajenkins@gmail.com,Female,False,A-,reginia77,-0.31,Christianity,Sat Apr 26 21:49:56 UTC 1986,1.0,66662 Edmundo Estate,Henderson,Connecticut,United States,67560-7870,5121636,+1 73334674626,142.38.36.177,US,57.48031496062992,123.2595,26.22,Overweight,18.5 - 25,Middle income,Northeast,3605944,"84,972"
8,Florencio Wuckert,18,Project Manager,90653,492,6771-8908-1807-3684,False,False,145.0,59.4,GREEN,florenciowuckert@yahoo.com,Female,False,A-,florencio6,-0.24,Hinduism,Fri Feb 03 09:29:39 UTC 2006,2.9,01127 Harland Orchard,Central Point,Maryland,United States,01906,4852640,+1 54343884663,206.244.71.95,US,57.08661417322835,130.977,28.25,Healthy weight,5 - 85,Middle income,South,6177224,"70,730"
9,Geraldo Stroman,35,Aerospace Engineer,119155,565,6759-7887-5342-8481,False,False,171.0,70.3,AMBER,stroman.stroman@yahoo.com,Male,False,B+,geraldo51,-0.03,Christian,Thu May 04 15:29:26 UTC 1989,3.3,296 Junior Hill,Safety Harbor,New Jersey,United States,55484-5222,5417258,+1 63211305742,139.103.89.78,US,67.32283464566929,155.0115,24.04,Normal,18.5 - 25,Middle income,Northeast,9288994,"78,700"
